club_1,club_2,similarity
Shinnik Yaroslav,Shinnik Yaroslavl,96.96969696969697
AC Fiorentina,ACF Fiorentina,96.2962962962963
Hibernian FC,Hibernians FC,96.0
GFC Ajaccio,GFCO Ajaccio,95.65217391304348
Al-Ahli SC,Al-Ahli SFC,95.23809523809523
Dinamo S-Pb,Dinamo SPb,95.23809523809523
AO Kerkyra,AOK Kerkyra,95.23809523809523
KSK Beveren,SK Beveren,95.23809523809523
SC Cambuur Leeuwarden,SC Cambuur-Leeuwarden,95.23809523809523
Shakhtar,Shakhtar D.,95.0
VfL Wolfsburg,Wolfsburg,95.0
US Salernitana,US Salernitana 1919,95.0
Venezia,Venezia FC,95.0
1.FC Saarbrücken,Saarbrücken,95.0
AC Le Havre,Le Havre,95.0
Vitória Setúbal,Vitória Setúbal FC,95.0
Torpedo,Torpedo NN,95.0
US Orléans,US Orléans 45,95.0
Stade Brestois,Stade Brestois 29,95.0
Stade Rennais,Stade Rennais FC,95.0
Stockport,Stockport S,95.0
Sunderland,Sunderland AFC,95.0
Stuttgart,VfB Stuttgart,95.0
Vigor Lamezia,Vigor Lamezia Y,95.0
Al-Nasr,Al-Nasr SC,95.0
Siracusa,US Siracusa,95.0
Sporting,Sporting CP,95.0
Saturn REN-TV Ramenskoe,Saturn Ramenskoe,95.0
Sevilla,Sevilla FC,95.0
Ternana,Ternana U.,95.0
TSG 1899 Hoffenheim,TSG Hoffenheim,95.0
St. Mirren,St. Mirren FC,95.0
St. Petersburg,Zenit St. Petersburg,95.0
SC Paderborn,SC Paderborn 07,95.0
Shakhtar,Shakhtar 3,95.0
AS Saint-Étienne,Saint-Étienne,95.0
Anzhi,Anzhi 2,95.0
Wattenscheid,Wattenscheid 09,95.0
A. Bielefeld,Bielefeld,95.0
Watford,Watford FC,95.0
Valenciennes,Valenciennes FC,95.0
Logroñés,UD Logroñés,95.0
Olympiakos,Olympiakos N.,95.0
Middlesbrough,Middlesbrough FC,95.0
MVV Maastricht,Maastricht,95.0
Morecambe,Morecambe FC,95.0
Portimonense,Portimonense 23,95.0
SC Toulon,SC Toulon Var,95.0
Atalanta,Atalanta BC,95.0
SV Werder Bremen,Werder Bremen,95.0
Salamanca,Salamanca CF,95.0
SC Veendam,Veendam,95.0
SG Wattenscheid 09,Wattenscheid 09,95.0
Salamanca,UD Salamanca,95.0
Salernitana,US Salernitana,95.0
SC Telstar,Telstar,95.0
SC Toulon,SC Toulon 83,95.0
Paderborn,SC Paderborn,95.0
Real Oviedo,Real Oviedo You,95.0
Sampdoria,UC Sampdoria,95.0
Sassuolo,US Sassuolo,95.0
Saturn,Saturn 2,95.0
RBC Roosendaal,Roosendaal,95.0
Reading,Reading FC,95.0
Real Murcia,Real Murcia CF,95.0
Palermo,US Palermo,95.0
Rio Ave,Rio Ave FC,95.0
Red Star,Red Star FC,95.0
Paços F.,Paços de F.,95.0
América,CD América,95.0
Badajoz,CD Badajoz,95.0
BB Erzurumspor,Erzurumspor,95.0
SC Salgueiros,Salgueiros,95.0
Montpellier,Montpellier HSC,95.0
Kyoto P. Sanga,Kyoto Sanga,95.0
Leixões,Leixões SC,95.0
LR Vicenza,Vicenza,95.0
Las Palmas,UD Las Palmas,95.0
Moreirense,Moreirense FC,95.0
Portimonense,Portimonense SC,95.0
Partick Thistle,Partick Thistle FC,95.0
Piacenza,Piacenza FC,95.0
New York City,York City,95.0
Portsmouth,Portsmouth FC,95.0
Potenza,Potenza SC,95.0
Oberhausen,RW Oberhausen,95.0
